zip_code,school_name,school_rating,grade_levels,percent_low_income
22572,Northern Neck Gov Stem Academy/Agric & Maritime Studies,,Ungraded,
22902,Monticello Governor's Health Sciences Academy,,Ungraded,
23124,Bridging Communities Stem Academy,,Ungraded,
23220,Coderva Regional High,,Ungraded,
24523,Governor's Health Sciences Academy,,Ungraded,
24083,Stem - Health Academy,,Ungraded,
24343,Blue Ridge Crossroads Governor's Academy For Technical Educa,,Ungraded,
23112,Chesterfield Career & Technical Center At Hull,,Ungraded,
23112,Academy 360,,Ungraded,
23112,Chesterfield Co Governor's Health/Science Academy,,Ungraded,
23112,Ccps Online,,Ungraded,
23832,Phoenix Center,,Ungraded,
23040,Superintendent's Region 8 Gov's Health/Science Academy,,Ungraded,
22043,Marshall Governor's Stem Academy,,Ungraded,
22042,Falls Church Governor's Health Sciences Academy,,Ungraded,
20151,Chantilly Governor's Stem Academy,,Ungraded,
22307,Clifford S. Hardison Governor's Health Sciences Academy,,Ungraded,
23061,Gloucester & Mathews Counties Gov's Health Sciences Academy,,Ungraded,
23666,Hampton City Public Schools Gov Health Sciences Academy,,Ungraded,
23666,Hampton Public Schools Architecture & Applied Arts Governor,,Ungraded,
22801,Harrisonburg Highs. Governor's Stem Academy,,Ungraded,
22801,Bluestone Elementary,,Ungraded,
20176,Academy Of Engineering And Technology,,Ungraded,
20148,Brambleton Middle School,,Ungraded,
24502,Lynchburg Regional Governor's Stem Academy,,Ungraded,
20110,Baldwin Intermediate School,,Ungraded,
24073,Montgomery County Governor's Stem Academy,,Ungraded,
23606,Newport News & York County Governor's Health Science Academy,,Ungraded,
23605,Heritage High School Governor's Stem Academy,,Ungraded,
22026,Covington-Harper Elementary School,,Ungraded,
24084,Pulaski County Public Schools Governor's Stem Academy,,Ungraded,
23230,Aspire Academy,,Ungraded,
22572,Richmond County Learning Center,,Ungraded,
22630,New Warren County Middle School,,Ungraded,
22630,Skyline Middle School,,Ungraded,
22601,Daniel Morgan Intermediate School,,Ungraded,
23842,Prince George Education Center,,6-12,
22553,Courthouse Academy Prgm.,,Ungraded,
