zip_code,school_name,school_rating,grade_levels,percent_low_income
24521,Amherst Elementary School,5.0,PK-5,35
22201,Francis Scott Key Elementary School,5.0,PK-5,43
22204,Carlin Springs Elementary School,5.0,PK-5,83
22202,Oakridge Elementary School,5.0,PK-5,25
22980,Cassell Elementary School,5.0,PK-5,52
24437,Edward G. Clymore Elementary School,5.0,PK-5,42
24503,Boonsboro Elementary School,5.0,K-5,23
24551,New London Academy Elementary,5.0,PK-5,27
24175,Troutville Elementary School,5.0,PK-5,30
24201,Stonewall Jackson Elementary School,5.0,PK-5,98
24201,Washington Lee Elementary School,5.0,PK-5,98
24614,Jm Bevins Elementary School,5.0,PK-5,88
24588,Yellow Branch Elementary School,5.0,PK-5,46
24343,Gladesboro Elementary School,5.0,PK-5,58
22901,Greenbrier Elementary School,5.0,PK-4,47
23322,Hickory Elementary School,5.0,PK-5,26
23234,Falling Creek Elementary School,5.0,PK-5,76
23831,Harrowgate Elementary School,5.0,PK-5,64
23234,J G Hening Elementary School,5.0,PK-5,47
23237,Salem Church Elementary School,5.0,PK-5,50
23114,Evergreen Elementary,5.0,PK-5,17
23832,Jacobs Road Elementary School,5.0,PK-5,41
23831,Ecoff Elementary School,5.0,PK-5,38
24127,Mccleary Elementary School,5.0,PK-5,62
22701,Emerald Hill Elementary School,5.0,PK-5,30
23040,Cumberland Elementary School,5.0,PK-4,74
24256,Sandlick Elementary School,5.0,PK-5,66
23841,Dinwiddie Elementary School,5.0,K-5,51
23885,Sutherland Elementary School,5.0,K-5,54
22042,Beech Tree Elementary School,5.0,PK-5,57
22003,Columbia Elementary School,5.0,PK-5,35
22030,Fairfax Villa Elementary School,5.0,PK-6,26
20190,Forest Edge Elementary School,5.0,PK-6,41
22182,Freedom Hill Elementary School,5.0,PK-6,23
22079,Gunston Elementary School,5.0,PK-6,33
22315,Hayfield Elementary School,5.0,PK-6,10
20191,Hunters Woods Elementary,5.0,PK-6,18
22151,Kings Park Elementary School,5.0,PK-3,23
22032,Little Run Elementary School,5.0,PK-6,27
22180,Louise Archer Elementary School,5.0,PK-6,11
22151,North Springfield Elementary School,5.0,PK-5,37
22032,Olde Creek Elementary School,5.0,PK-6,18
22308,Stratford Landing Elementary School,5.0,PK-6,17
22043,Westgate Elementary School,5.0,PK-6,30
22015,Cherry Run Elementary School,5.0,PK-6,4
20120,Cub Run Elementary School,5.0,PK-6,15
22032,Bonnie Brae Elementary School,5.0,PK-6,15
20186,C.M. Bradley Elementary School,5.0,PK-5,23
22734,Margaret M. Pierce Elementary School,5.0,PK-5,33
22712,Mary Walter Elementary School,5.0,PK-5,53
