zip_code,school_name,school_rating,grade_levels,percent_low_income
22601,Daniel Morgan Middle School,2.0,5-8,59
23608,Mary Passage Middle School,2.0,6-8,66
23803,Peabody Middle School,2.0,6-8,99
23225,Elkhardt Thompson Middle,2.0,6-8,97
23607,Huntington Middle School,1.0,6-8,95
23223,Martin Luther King Jr. Middle School,1.0,6-8,99
22901,Charlottesville-Albemarle Tech,,Ungraded,
24426,Jackson River Tech Center,,Ungraded,
22801,Massanutten Tech Center,,Ungraded,
22939,Valley Vocational Tech Center,,Ungraded,
23608,Woodside Campus,,Ungraded,
23666,Butler Farm Campus,,Ungraded,
23434,Pruden Center For Indus/Tech,,Ungraded,
23830,Rowanty Vocational Tech Center,,Ungraded,
22572,Northern Neck Technical Center,,Ungraded,
23930,Amelia-Nottoway Voc Center,,Ungraded,
24333,Coop Center For Excep Children,,Ungraded,
23061,Mid Peninsula Reg Spec Ed Center,,Ungraded,
22511,Northern Neck Reg Special Ed,,Ungraded,
23602,Center For Autism,,Ungraded,
22901,Piedmont Reg Ed/Ivy Creek,,Ungraded,
24482,Shenandoah Valley Reg,,Ungraded,
23502,Southeastern Coop Ed Program,,Ungraded,
24501,Laurel Regional Special Ed Center,,Ungraded,
22601,Northwestern Reg Ed Program,,Ungraded,
20112,N Virginia Reg Spec Ed Program,,Ungraded,
24083,Roanoke Valley Regional Board,,Ungraded,
22939,Shenandoah Valley Gov. School,,Ungraded,
23947,Gov. School Global Economics/Tech.,,Ungraded,
24112,Henry Co/Martinsville Reg Program,,Ungraded,
23440,Tangier Combined,,K-12,24
22306,Bryant Alternative High School,,7-12,41
22150,Key Center School,,PK-12,36
22182,Kilmer Center,,PK-12,22
23060,Academy At Virginia Randolph,,Ungraded,
24502,Central Virginia Gov. School,,Ungraded,
24301,Southwest Virginia Gov. School,,Ungraded,
23510,Gov. School For The Arts,,Ungraded,
24015,Roanoke Valley Gov. School,,Ungraded,
23666,New Horizons Gov. School,,Ungraded,
23220,Amelia Street Sp. Ed.,,PK-12,77
22407,Gates Alternative High School Prgm.,,Ungraded,
23803,Appomattox Regional Gov. School,,Ungraded,
24210,A. Linwood Holton Gov. School,,Ungraded,
22560,Chesapeake Bay Gov. School,,Ungraded,
22407,Commonwealth Gov .Sch.,,Ungraded,
24558,Halifax County Career Center,,Ungraded,
24401,Virginia School For Deaf,,PK-12,0
24401,Virginia School For Blind,,PK-12,0
23220,Maggie L. Walker Governor's School,,Ungraded,
